gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,MIL,.444,0,L (-5),HOU,12,,3,6,13.3,4,2,.667,0,4,1,7,1,,4,2,9,1,36-285,11,1999-11-02,34:00,9,Hakeem Olajuwon
1,UTA,.462,0,L (-16),HOU,12,@,3,0,10.3,2,3,,1,0,2,3,2,.000,6,1,13,3,36-287,4,1999-11-04,28:00,3,Hakeem Olajuwon
1,SAS,.462,0,L (-10),HOU,13,,3,2,11.0,1,1,.500,0,1,3,2,3,,6,5,13,2,36-288,8,1999-11-05,35:00,3,Hakeem Olajuwon
1,ORL,.400,0,L (-5),HOU,16,,3,5,14.2,3,3,.800,0,4,4,0,4,,6,1,15,6,36-291,8,1999-11-08,31:00,7,Hakeem Olajuwon
1,LAL,.278,0,L (-1),HOU,15,,1,7,9.5,1,2,.714,0,5,5,1,5,,5,3,18,1,36-293,10,1999-11-10,36:00,7,Hakeem Olajuwon
1,LAL,.500,0,W (+16),HOU,12,@,4,0,14.2,1,6,,0,0,6,1,6,,6,1,12,4,36-295,11,1999-11-12,32:00,10,Hakeem Olajuwon
1,GSW,.375,0,W (+8),HOU,15,@,2,4,12.8,2,3,.750,0,3,7,0,7,,6,3,16,2,36-296,15,1999-11-13,33:00,12,Hakeem Olajuwon
1,IND,.429,0,L (-9),HOU,18,,5,0,5.3,3,0,,0,0,8,3,8,,9,0,21,1,36-298,5,1999-11-15,35:00,5,Hakeem Olajuwon
1,DAL,.600,0,L (-19),HOU,13,@,2,2,9.8,2,1,.500,0,1,9,1,9,,6,1,10,1,36-299,6,1999-11-16,27:00,5,Hakeem Olajuwon
1,SAC,.565,0,L (-18),HOU,31,,0,8,24.8,3,3,.625,0,5,10,2,10,,13,3,23,0,36-301,8,1999-11-18,34:00,5,Hakeem Olajuwon
1,SEA,.615,0,L (-3),HOU,16,@,1,0,12.5,5,1,,0,0,11,1,11,,8,2,13,2,36-303,4,1999-11-20,32:00,2,Hakeem Olajuwon
1,SAC,.500,0,L (-5),HOU,20,@,3,4,15.1,3,0,1.000,0,4,12,0,12,,8,2,16,2,36-304,15,1999-11-21,32:00,13,Hakeem Olajuwon
1,DAL,.571,0,W (+20),HOU,8,,1,0,9.7,0,3,,0,0,13,3,13,,4,0,7,0,36-306,6,1999-11-23,29:00,6,Hakeem Olajuwon
1,POR,.400,0,L (-3),HOU,6,@,2,4,1.6,2,0,.500,0,2,14,0,14,,2,1,5,0,36-309,5,1999-11-26,15:00,4,Hakeem Olajuwon
0,DAL,.000,0,W (+10),HOU,0,@,1,0,0.3,2,3,,0,0,15,1,15,,0,0,4,0,36-361,7,2000-01-17,14:00,7,Hakeem Olajuwon
0,POR,.375,0,W (+1),HOU,6,,3,0,4.6,3,4,,0,0,16,1,16,,3,1,8,3,36-362,1,2000-01-18,19:00,0,Hakeem Olajuwon
0,DEN,.286,0,W (+7),HOU,6,,0,4,5.3,2,1,.500,0,2,17,2,17,,2,1,7,1,36-364,5,2000-01-20,18:00,4,Hakeem Olajuwon
