gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,NJN,.389,0,W (+4),HOU,19,,3,6,12.4,5,4,.833,0,5,1,0,1,,7,1,18,3,31-287,8,1994-11-04,43:00,7,Hakeem Olajuwon
1,MIN,.563,0,W (+30),HOU,23,@,2,6,20.3,1,2,.833,0,5,2,4,2,,9,1,16,1,31-288,7,1994-11-05,34:00,6,Hakeem Olajuwon
1,CLE,.533,0,W (+2),HOU,21,@,0,5,26.2,3,7,1.000,0,5,3,6,3,,8,0,15,1,31-291,12,1994-11-08,46:00,12,Hakeem Olajuwon
1,IND,.600,0,W (+5),HOU,43,@,2,18,41.0,2,8,.722,0,13,4,3,4,,15,2,25,1,31-292,16,1994-11-09,46:00,14,Hakeem Olajuwon
1,BOS,.474,0,W (+20),HOU,26,@,4,9,20.6,3,3,.889,1,8,5,2,5,.000,9,3,19,1,31-294,14,1994-11-11,38:00,11,Hakeem Olajuwon
1,NJN,.609,0,W (+16),HOU,31,@,2,3,30.5,6,5,1.000,0,3,6,3,6,,14,2,23,5,31-295,10,1994-11-12,41:00,8,Hakeem Olajuwon
1,SAC,.440,0,W (+6),HOU,28,,6,7,21.4,3,6,.857,1,6,7,3,7,.000,11,4,25,2,31-298,14,1994-11-15,45:00,10,Hakeem Olajuwon
1,CHI,.714,0,W (+23),HOU,29,,7,12,28.7,2,3,.750,0,9,8,4,8,,10,1,14,5,31-300,14,1994-11-17,42:00,13,Hakeem Olajuwon
1,DEN,.458,0,W (+8),HOU,26,@,4,5,15.8,5,4,.800,1,4,9,1,9,.000,11,3,24,0,31-302,13,1994-11-19,37:00,10,Hakeem Olajuwon
1,POR,.550,0,L (-8),HOU,27,,5,7,15.3,3,1,.714,0,5,10,1,10,,11,1,20,1,31-305,7,1994-11-22,42:00,6,Hakeem Olajuwon
1,ORL,.455,0,L (-23),HOU,27,@,3,7,21.0,4,3,1.000,0,7,11,3,11,,10,2,22,2,31-306,10,1994-11-23,37:00,8,Hakeem Olajuwon
