gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,SAC,.385,0,W (+11),HOU,17,,4,10,16.9,2,1,.700,0,7,1,6,1,,5,3,13,3,33-285,13,1996-11-01,39:00,10,Hakeem Olajuwon
1,PHO,.632,0,W (+15),HOU,24,@,4,0,17.2,2,0,,0,0,2,3,2,,12,5,19,0,33-286,8,1996-11-02,35:00,3,Hakeem Olajuwon
1,UTA,.421,0,W (+3),HOU,23,@,2,11,16.2,3,2,.636,0,7,3,3,3,,8,3,19,1,33-288,8,1996-11-04,36:00,5,Hakeem Olajuwon
1,SAC,.522,0,W (+22),HOU,34,@,4,13,27.8,2,3,.769,0,10,4,3,4,,12,2,23,4,33-289,7,1996-11-05,33:00,5,Hakeem Olajuwon
1,DEN,.440,0,W (+2),HOU,36,@,4,17,23.2,1,1,.824,0,14,5,1,5,,11,2,25,1,33-291,9,1996-11-07,42:00,7,Hakeem Olajuwon
1,UTA,.519,0,W (+6),HOU,38,,1,12,28.7,4,1,.833,0,10,6,2,6,,14,4,27,1,33-293,9,1996-11-09,33:00,5,Hakeem Olajuwon
1,LAL,.545,0,L (-11),HOU,31,,1,9,24.7,4,4,.778,0,7,7,2,7,,12,1,22,1,33-296,7,1996-11-12,32:00,6,Hakeem Olajuwon
1,IND,.538,0,W (+2),HOU,21,,4,8,20.1,5,4,.875,0,7,8,4,8,,7,4,13,1,33-298,12,1996-11-14,31:00,8,Hakeem Olajuwon
1,GSW,.600,0,W (+12),HOU,23,,7,6,18.6,3,4,.833,0,5,9,4,9,,9,2,15,2,33-300,9,1996-11-16,41:00,7,Hakeem Olajuwon
1,MIN,.556,0,W (+29),HOU,10,,3,0,6.0,0,0,,0,0,10,2,10,,5,1,9,0,33-303,5,1996-11-19,18:00,4,Hakeem Olajuwon
1,POR,.429,0,W (+1),HOU,27,,3,11,17.2,2,3,.818,0,9,11,0,11,,9,0,21,2,33-310,6,1996-11-26,41:00,6,Hakeem Olajuwon
1,BOS,.500,0,W (+26),HOU,17,@,3,2,11.6,3,0,.500,0,1,12,3,12,,8,3,16,0,33-313,13,1996-11-29,28:00,10,Hakeem Olajuwon
1,WSB,.600,0,W (+4),HOU,34,@,4,5,25.6,4,0,.800,0,4,13,2,13,,15,4,25,1,33-314,17,1996-11-30,39:00,13,Hakeem Olajuwon
1,BOS,.462,0,W (+5),HOU,16,,7,6,11.0,0,5,.667,0,4,14,3,14,,6,2,13,1,33-318,7,1996-12-04,40:00,5,Hakeem Olajuwon
1,PHI,.364,0,W (+15),HOU,13,,6,9,4.4,1,2,.556,0,5,15,0,15,,4,1,11,1,33-321,9,1996-12-07,29:00,8,Hakeem Olajuwon
1,MIN,.500,0,W (+2),HOU,29,@,2,12,23.0,2,3,.750,0,9,16,1,16,,10,2,20,2,33-324,8,1996-12-10,37:00,6,Hakeem Olajuwon
1,DET,.667,0,W (+19),HOU,21,,3,1,16.3,3,0,1.000,0,1,17,4,17,,10,1,15,1,33-326,6,1996-12-12,34:00,5,Hakeem Olajuwon
1,SEA,.500,0,W (+9),HOU,9,@,5,2,7.0,5,1,.500,0,1,18,3,18,,4,4,8,2,33-328,10,1996-12-14,37:00,6,Hakeem Olajuwon
1,POR,.450,0,W (+10),HOU,26,@,3,8,19.1,6,1,1.000,0,8,19,4,19,,9,1,20,2,33-329,10,1996-12-15,41:00,9,Hakeem Olajuwon
1,VAN,.500,0,L (-1),HOU,23,@,5,10,18.2,5,2,.700,0,7,20,4,20,,8,5,16,1,33-331,14,1996-12-17,41:00,9,Hakeem Olajuwon
1,SAS,.333,0,L (-14),HOU,9,,3,4,6.5,5,2,.250,0,1,21,7,21,,4,3,12,0,33-333,10,1996-12-19,32:00,7,Hakeem Olajuwon
1,MIA,.353,1,L (-20),HOU,20,,3,11,18.7,3,2,.636,1,7,22,3,22,1.000,6,4,17,5,33-335,13,1996-12-21,42:00,9,Hakeem Olajuwon
