gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,SAS,.692,0,W (+6),HOU,22,,1,8,18.7,5,1,.500,0,4,1,2,1,,9,1,13,1,24-289,11,1987-11-06,37:00,10,Hakeem Olajuwon
1,LAL,.591,0,L (-9),HOU,26,@,5,2,20.9,5,2,.000,0,0,2,2,2,,13,7,22,4,24-291,11,1987-11-08,38:00,4,Hakeem Olajuwon
1,POR,.545,0,W (+7),HOU,16,@,2,6,14.8,5,3,.667,0,4,3,0,3,,6,4,11,1,24-293,14,1987-11-10,31:00,10,Hakeem Olajuwon
1,SAC,.474,0,W (+2),HOU,18,@,1,0,16.1,6,3,,0,0,4,1,4,,9,6,19,3,24-295,10,1987-11-12,35:00,4,Hakeem Olajuwon
1,UTA,.357,0,W (+8),HOU,19,,2,12,17.8,5,2,.750,0,9,5,2,5,,5,8,14,1,24-297,16,1987-11-14,29:00,8,Hakeem Olajuwon
1,SEA,.667,0,W (+2),HOU,24,,4,9,18.1,5,1,.444,0,4,6,2,6,,10,3,15,2,24-298,11,1987-11-15,40:00,8,Hakeem Olajuwon
1,NJN,.545,0,L (-3),HOU,15,@,2,5,12.8,5,4,.600,0,3,7,1,7,,6,4,11,1,24-300,6,1987-11-17,27:00,2,Hakeem Olajuwon
1,CLE,.550,0,W (+8),HOU,27,@,8,9,22.5,4,5,.556,0,5,8,1,8,,11,2,20,8,24-302,11,1987-11-19,45:00,9,Hakeem Olajuwon
1,ATL,.462,0,L (-10),HOU,17,@,5,6,12.9,4,5,.833,0,5,9,3,9,,6,3,13,1,24-304,6,1987-11-21,46:00,3,Hakeem Olajuwon
1,DET,.625,0,L (-14),HOU,21,,6,4,15.0,4,3,.250,0,1,10,2,10,,10,5,16,0,24-307,15,1987-11-24,39:00,10,Hakeem Olajuwon
1,PHO,.500,0,W (+6),HOU,18,@,4,7,12.2,4,1,.857,0,6,11,0,11,,6,2,12,2,24-308,9,1987-11-25,32:00,7,Hakeem Olajuwon
1,UTA,.133,0,L (-22),HOU,5,@,4,4,-2.8,2,1,.250,0,1,12,2,12,,2,2,15,2,24-310,10,1987-11-27,33:00,8,Hakeem Olajuwon
1,CHI,.500,0,L (-12),HOU,14,,2,8,12.3,6,3,.750,0,6,13,1,13,,4,4,8,1,24-311,7,1987-11-28,30:00,3,Hakeem Olajuwon
1,DEN,.556,0,W (+5),HOU,22,,2,7,20.6,1,6,.286,0,2,14,2,14,,10,2,18,1,24-314,14,1987-12-01,30:00,12,Hakeem Olajuwon
1,SAS,.667,0,L (-4),HOU,23,@,4,4,18.7,6,1,.750,0,3,15,2,15,,10,5,15,1,24-315,13,1987-12-02,31:00,8,Hakeem Olajuwon
1,GSW,.500,0,W (+25),HOU,10,,2,2,10.4,3,3,1.000,0,2,16,4,16,,4,0,8,0,24-318,9,1987-12-05,33:00,9,Hakeem Olajuwon
1,SAC,.478,0,W (+9),HOU,26,,1,7,22.0,6,4,.571,0,4,17,2,17,,11,7,23,2,24-321,11,1987-12-08,40:00,4,Hakeem Olajuwon
1,UTA,.467,0,W (+5),HOU,19,,1,11,25.2,2,7,.455,0,5,18,6,18,,7,2,15,4,24-323,14,1987-12-10,39:00,12,Hakeem Olajuwon
1,CHI,.480,0,L (-9),HOU,31,@,1,10,19.7,4,1,.700,0,7,19,1,19,,12,1,25,1,24-325,8,1987-12-12,34:00,7,Hakeem Olajuwon
1,DEN,.308,0,L (-19),HOU,11,@,2,6,6.0,4,0,.500,0,3,20,2,20,,4,5,13,0,24-329,13,1987-12-16,31:00,8,Hakeem Olajuwon
1,LAC,.400,0,L (-6),HOU,22,@,5,6,18.9,6,5,1.000,0,6,21,0,21,,8,6,20,5,24-330,14,1987-12-17,39:00,8,Hakeem Olajuwon
1,DEN,.500,0,L (-4),HOU,23,,6,8,21.5,5,4,.875,0,7,22,2,22,,8,7,16,4,24-332,13,1987-12-19,38:00,6,Hakeem Olajuwon
1,ATL,.400,0,W (+19),HOU,14,,3,9,12.6,3,4,.667,0,6,23,1,23,,4,5,10,0,24-335,13,1987-12-22,36:00,8,Hakeem Olajuwon
1,DAL,.417,0,L (-5),HOU,24,@,6,6,20.3,4,6,.667,0,4,24,5,24,,10,4,24,4,24-339,14,1987-12-26,45:00,10,Hakeem Olajuwon
1,DET,.455,0,W (+10),HOU,15,@,0,8,17.5,4,5,.625,0,5,25,1,25,,5,4,11,1,24-342,14,1987-12-29,26:00,10,Hakeem Olajuwon
1,MIL,.667,0,W (+9),HOU,28,@,1,11,23.8,5,1,.727,1,8,26,1,26,.000,10,2,15,1,24-343,11,1987-12-30,33:00,9,Hakeem Olajuwon
1,WSB,.615,0,W (+11),HOU,18,@,2,5,13.0,5,1,.400,0,2,27,2,27,,8,2,13,2,24-346,4,1988-01-02,22:00,2,Hakeem Olajuwon
1,DAL,.684,0,W (+10),HOU,31,,3,5,29.7,4,3,1.000,0,5,28,2,28,,13,4,19,3,24-348,11,1988-01-04,39:00,7,Hakeem Olajuwon
1,SEA,.333,0,L (-15),HOU,15,@,3,8,10.0,4,2,.625,0,5,29,2,29,,5,4,15,1,24-350,13,1988-01-06,34:00,9,Hakeem Olajuwon
1,GSW,.478,0,W (+7),HOU,30,@,0,11,31.5,5,6,.727,0,8,30,2,30,,11,7,23,2,24-351,20,1988-01-07,40:00,13,Hakeem Olajuwon
1,PHO,.684,0,W (+6),HOU,33,,6,8,31.6,4,2,.875,0,7,31,1,31,,13,7,19,5,24-353,16,1988-01-09,40:00,9,Hakeem Olajuwon
1,PHO,.636,0,L (-11),HOU,15,@,3,2,10.5,4,1,.500,0,1,32,2,32,,7,2,11,1,24-357,5,1988-01-13,30:00,3,Hakeem Olajuwon
1,POR,.412,0,W (+5),HOU,17,,6,6,10.1,4,3,.500,0,3,33,3,33,,7,2,17,3,24-358,10,1988-01-14,42:00,8,Hakeem Olajuwon
1,IND,.500,0,W (+30),HOU,25,,3,10,24.7,5,3,.900,0,9,34,2,34,,8,4,16,2,24-360,20,1988-01-16,36:00,16,Hakeem Olajuwon
