gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,IND,.412,0,W (+5),HOU,16,@,3,3,15.2,3,2,.667,0,2,35,2,35,,7,2,17,6,35-063,11,1998-03-25,35:00,9,Hakeem Olajuwon
1,ORL,.462,0,L (-25),HOU,12,@,6,0,6.4,2,2,,0,0,36,2,36,,6,3,13,0,35-065,13,1998-03-27,32:00,10,Hakeem Olajuwon
1,MIA,.385,0,L (-32),HOU,15,@,3,9,7.8,3,0,.556,0,5,37,3,37,,5,1,13,2,35-067,4,1998-03-29,33:00,3,Hakeem Olajuwon
1,PHO,.375,0,L (-11),HOU,15,,2,4,14.3,1,3,.750,0,3,38,2,38,,6,2,16,3,35-069,12,1998-03-31,44:00,10,Hakeem Olajuwon
1,GSW,.500,0,L (-10),HOU,21,,2,8,19.7,4,0,.875,0,7,39,3,39,,7,3,14,4,35-071,8,1998-04-02,36:00,5,Hakeem Olajuwon
1,ATL,.625,0,L (-20),HOU,15,@,3,8,9.7,5,2,.625,0,5,40,0,40,,5,0,8,1,35-072,7,1998-04-03,33:00,7,Hakeem Olajuwon
1,CHI,.500,0,L (-15),HOU,16,,4,2,13.6,1,2,1.000,0,2,41,4,41,,7,3,14,0,35-074,12,1998-04-05,34:00,9,Hakeem Olajuwon
1,DEN,.462,0,W (+17),HOU,18,@,2,7,16.8,4,3,.857,1,6,42,2,42,.000,6,2,13,1,35-076,14,1998-04-07,35:00,12,Hakeem Olajuwon
1,GSW,.444,0,W (+4),HOU,10,@,1,3,15.0,5,3,.667,0,2,43,6,43,,4,2,9,3,35-078,10,1998-04-09,36:00,8,Hakeem Olajuwon
1,SAC,.556,0,W (+12),HOU,24,@,1,6,23.0,4,2,.667,0,4,44,6,44,,10,2,18,1,35-079,12,1998-04-10,38:00,10,Hakeem Olajuwon
1,SEA,.444,0,L (-8),HOU,13,@,4,7,12.9,3,3,.714,0,5,45,6,45,,4,4,9,0,35-081,9,1998-04-12,36:00,5,Hakeem Olajuwon
1,DEN,.444,0,W (+6),HOU,13,,1,6,26.1,4,6,.833,0,5,46,8,46,,4,4,9,4,35-083,18,1998-04-14,39:00,14,Hakeem Olajuwon
1,MIN,.500,0,L (-7),HOU,20,@,6,6,13.4,4,1,.667,1,4,47,3,47,.000,8,0,16,4,35-086,10,1998-04-17,39:00,10,Hakeem Olajuwon
