gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,plus_minus,stl,age,trb,date_game,mp,drb,player_name
1,MIN,.500,0,L (-8),HOU,4,,1,2,3.7,0,0,.000,0,0,1,1,1,,2,0,4,-5,1,37-284,6,2000-10-31,18:00,6,Hakeem Olajuwon
1,MIL,.500,0,W (+22),HOU,4,,1,2,3.8,2,1,1.000,0,2,2,1,2,,1,0,2,+7,0,37-286,4,2000-11-02,19:00,4,Hakeem Olajuwon
1,LAC,.222,0,L (-3),HOU,4,@,0,0,6.9,3,1,,0,0,3,3,3,,2,3,9,+5,2,37-288,12,2000-11-04,34:00,9,Hakeem Olajuwon
1,PHO,.600,0,L (-5),HOU,8,@,1,2,7.0,1,0,1.000,0,2,4,0,4,,3,2,5,+1,1,37-289,3,2000-11-05,14:00,1,Hakeem Olajuwon
1,LAL,.556,0,W (+10),HOU,12,,0,2,13.8,4,0,1.000,0,2,5,0,5,,5,3,9,+4,5,37-291,5,2000-11-07,35:00,2,Hakeem Olajuwon
1,VAN,.500,0,W (+7),HOU,2,,0,2,2.9,1,0,.000,0,0,6,1,6,,1,0,2,-1,0,37-293,8,2000-11-09,22:00,8,Hakeem Olajuwon
1,POR,.667,0,L (-23),HOU,17,@,0,3,10.8,2,0,.333,0,1,7,0,7,,8,0,12,-20,0,37-295,2,2000-11-11,26:00,2,Hakeem Olajuwon
1,LAL,.444,0,L (-6),HOU,13,@,0,6,11.6,4,2,.833,0,5,8,2,8,,4,1,9,+4,0,37-296,7,2000-11-12,31:00,6,Hakeem Olajuwon
1,CHI,.600,0,W (+27),HOU,10,,2,6,9.2,1,1,.667,0,4,9,2,9,,3,1,5,+16,1,37-298,4,2000-11-14,22:00,3,Hakeem Olajuwon
1,CHH,.444,0,W (+4),HOU,11,,2,4,7.3,2,1,.750,0,3,10,1,10,,4,1,9,-6,0,37-300,8,2000-11-16,29:00,7,Hakeem Olajuwon
1,PHO,.750,0,W (+5),HOU,19,,4,2,18.4,2,3,.500,0,1,11,1,11,,9,4,12,+10,2,37-302,10,2000-11-18,33:00,6,Hakeem Olajuwon
1,IND,.667,0,W (+12),HOU,13,@,1,2,12.5,4,1,.500,0,1,12,3,12,,6,2,9,+11,1,37-305,6,2000-11-21,33:00,4,Hakeem Olajuwon
1,BOS,.308,0,L (-15),HOU,11,@,2,3,7.0,1,3,1.000,0,3,13,0,13,,4,5,13,-10,0,37-306,6,2000-11-22,21:00,1,Hakeem Olajuwon
1,MIA,.500,0,W (+11),HOU,6,@,0,0,7.1,4,0,,0,0,14,1,14,,3,1,6,+7,4,37-309,2,2000-11-25,26:00,1,Hakeem Olajuwon
1,SAC,.167,0,L (-7),HOU,10,,3,8,2.4,2,0,.750,0,6,15,0,15,,2,2,12,-22,2,37-312,6,2000-11-28,27:00,4,Hakeem Olajuwon
1,DEN,.364,0,W (+4),HOU,9,@,1,6,7.6,4,2,.167,0,1,16,2,16,,4,1,11,+11,4,37-314,7,2000-11-30,29:00,6,Hakeem Olajuwon
1,POR,.667,0,L (-11),HOU,9,,1,1,6.9,2,0,1.000,0,1,17,2,17,,4,0,6,-17,0,37-316,3,2000-12-02,21:00,3,Hakeem Olajuwon
1,DAL,.500,0,W (+7),HOU,10,,1,2,11.6,2,1,1.000,0,2,18,2,18,,4,3,8,+9,2,37-319,7,2000-12-05,24:00,4,Hakeem Olajuwon
1,SAC,.375,0,L (-13),HOU,10,@,1,5,12.4,2,3,.800,0,4,19,0,19,,3,3,8,-13,3,37-322,9,2000-12-08,27:00,6,Hakeem Olajuwon
1,SEA,.778,0,W (+7),HOU,17,@,1,4,16.9,4,5,.750,0,3,20,0,20,,7,1,9,0,1,37-323,5,2000-12-09,27:00,4,Hakeem Olajuwon
1,VAN,.545,0,W (+7),HOU,12,@,1,0,11.0,3,3,,0,0,21,1,21,,6,1,11,-8,0,37-325,11,2000-12-11,24:00,10,Hakeem Olajuwon
1,GSW,.500,0,W (+3),HOU,6,@,5,0,0.0,4,1,,0,0,22,1,22,,3,1,6,0,0,37-328,6,2000-12-14,17:00,5,Hakeem Olajuwon
1,DEN,.300,0,L (-2),HOU,6,,1,0,1.3,2,0,,0,0,23,0,23,,3,2,10,+2,0,37-330,7,2000-12-16,20:00,5,Hakeem Olajuwon
1,SAS,.462,0,L (-7),HOU,17,,3,6,17.3,1,3,.833,0,5,24,4,24,,6,5,13,+1,0,37-333,13,2000-12-19,36:00,8,Hakeem Olajuwon
1,LAL,.545,0,L (-5),HOU,16,,1,4,11.7,5,1,1.000,0,4,25,0,25,,6,3,11,-3,0,37-335,7,2000-12-21,31:00,4,Hakeem Olajuwon
1,GSW,.467,0,L (-8),HOU,15,,3,2,10.2,2,3,.500,1,1,26,1,26,.000,7,3,15,-2,1,37-337,7,2000-12-23,34:00,4,Hakeem Olajuwon
1,SAS,.125,0,L (-8),HOU,3,@,2,2,-0.1,4,1,.500,0,1,27,0,27,,1,4,8,-1,2,37-340,6,2000-12-26,18:00,2,Hakeem Olajuwon
1,SEA,.462,0,L (-15),HOU,15,,0,5,12.5,2,1,.600,0,3,28,2,28,,6,3,13,-11,1,37-341,5,2000-12-27,30:00,2,Hakeem Olajuwon
1,DAL,.400,0,W (+15),HOU,8,@,1,0,3.9,1,0,,0,0,29,2,29,,4,1,10,+4,0,37-344,3,2000-12-30,15:00,2,Hakeem Olajuwon
0,PHI,.250,0,L (-1),HOU,2,,0,2,4.2,3,3,.000,0,0,30,0,30,,1,1,4,-3,2,38-003,7,2001-01-24,18:00,6,Hakeem Olajuwon
1,VAN,.700,0,W (+17),HOU,17,,1,5,14.8,4,1,.600,0,3,31,1,31,,7,1,10,+20,3,38-005,2,2001-01-26,22:00,1,Hakeem Olajuwon
1,CHH,.333,0,W (+13),HOU,4,@,2,0,-1.8,5,0,,0,0,32,0,32,,2,0,6,+1,1,38-006,2,2001-01-27,17:00,2,Hakeem Olajuwon
1,MIA,.600,0,L (-18),HOU,13,,0,4,11.5,0,1,.250,0,1,33,1,33,,6,2,10,-14,0,38-009,7,2001-01-30,28:00,5,Hakeem Olajuwon
1,LAC,.000,0,L (-17),HOU,2,,0,4,2.0,1,2,.500,0,2,34,1,34,,0,2,5,-25,0,38-011,6,2001-02-01,25:00,4,Hakeem Olajuwon
1,SAS,.308,0,L (-2),HOU,10,@,0,2,9.5,3,2,1.000,0,2,35,0,35,,4,6,13,+4,2,38-013,8,2001-02-03,28:00,2,Hakeem Olajuwon
1,NYK,.778,0,W (+14),HOU,18,,1,5,21.4,4,2,.800,0,4,36,2,36,,7,1,9,+32,4,38-015,9,2001-02-05,28:00,8,Hakeem Olajuwon
1,PHI,.500,0,W (+25),HOU,18,@,1,6,19.9,1,1,.667,0,4,37,0,37,,7,8,14,+12,3,38-017,14,2001-02-07,25:00,6,Hakeem Olajuwon
1,DET,.615,0,W (+13),HOU,17,@,1,2,18.7,3,7,.500,0,1,38,3,38,,8,2,13,+17,0,38-018,8,2001-02-08,34:00,6,Hakeem Olajuwon
1,WAS,.462,0,W (+10),HOU,15,,3,4,17.7,5,3,.750,0,3,39,1,39,,6,5,13,+14,4,38-023,20,2001-02-13,34:00,15,Hakeem Olajuwon
1,ORL,.636,0,L (-15),HOU,16,@,5,4,15.0,4,3,.500,0,2,40,1,40,,7,5,11,-14,2,38-026,15,2001-02-16,32:00,10,Hakeem Olajuwon
0,CLE,.364,0,W (+12),HOU,9,,3,2,5.9,2,1,.500,0,1,41,1,41,,4,2,11,+1,2,38-027,10,2001-02-17,31:00,8,Hakeem Olajuwon
1,BOS,.625,0,W (+17),HOU,13,,1,5,12.7,0,2,.600,0,3,42,1,42,,5,2,8,+16,1,38-030,4,2001-02-20,30:00,2,Hakeem Olajuwon
1,MIN,.600,0,W (+6),HOU,13,@,1,2,16.3,2,3,.500,0,1,43,3,43,,6,0,10,+4,2,38-031,13,2001-02-21,35:00,13,Hakeem Olajuwon
1,ORL,.438,0,W (+10),HOU,16,,4,4,8.1,3,3,.500,0,2,44,0,44,,7,2,16,+9,0,38-033,12,2001-02-23,38:00,10,Hakeem Olajuwon
1,POR,.545,0,L (-6),HOU,16,,0,6,15.1,3,2,.667,0,4,45,1,45,,6,0,11,-6,1,38-036,11,2001-02-26,37:00,11,Hakeem Olajuwon
1,CHI,.778,0,W (+17),HOU,17,@,2,3,13.0,3,1,1.000,0,3,46,1,46,,7,1,9,+2,0,38-038,3,2001-02-28,22:00,2,Hakeem Olajuwon
1,MIL,.500,0,W (+17),HOU,13,@,1,4,10.9,0,1,.750,0,3,47,0,47,,5,2,10,+12,1,38-039,6,2001-03-01,26:00,4,Hakeem Olajuwon
1,DAL,.625,0,L (-5),HOU,27,@,5,13,20.0,1,1,.538,0,7,48,2,48,,10,5,16,-2,0,38-041,13,2001-03-03,33:00,8,Hakeem Olajuwon
1,ATL,.000,0,W (+6),HOU,0,@,1,0,-1.1,0,0,,0,0,49,0,49,,0,1,2,-9,0,38-045,3,2001-03-07,10:00,2,Hakeem Olajuwon
0,UTA,.375,0,W (+23),HOU,11,,1,6,7.6,2,0,.833,0,5,50,1,50,,3,1,8,+19,0,38-065,7,2001-03-27,21:00,6,Hakeem Olajuwon
1,PHO,.529,0,L (-5),HOU,20,,0,4,19.3,2,1,.500,0,2,51,2,51,,9,2,17,+7,3,38-067,11,2001-03-29,38:00,9,Hakeem Olajuwon
1,WAS,.583,0,W (+10),HOU,15,@,1,2,14.5,3,3,.500,0,1,52,1,52,,7,4,12,-2,0,38-069,11,2001-03-31,25:00,7,Hakeem Olajuwon
1,NJN,.556,0,L (-3),HOU,10,@,1,1,12.2,3,4,.000,0,0,53,2,53,,5,2,9,-10,2,38-070,7,2001-04-01,29:00,5,Hakeem Olajuwon
1,DAL,.462,0,L (-12),HOU,15,,2,8,8.8,2,1,.375,0,3,54,0,54,,6,3,13,-7,1,38-072,8,2001-04-03,23:00,5,Hakeem Olajuwon
1,SEA,.214,0,W (+3),HOU,7,,1,4,1.0,4,2,.250,0,1,55,3,55,,3,2,14,+8,0,38-074,7,2001-04-05,33:00,5,Hakeem Olajuwon
1,ATL,.706,0,W (+13),HOU,26,,3,5,20.9,2,0,.400,0,2,56,4,56,,12,3,17,+7,0,38-076,10,2001-04-07,31:00,7,Hakeem Olajuwon
1,UTA,.375,0,L (-15),HOU,8,@,0,2,6.2,1,0,1.000,0,2,57,1,57,,3,1,8,-15,1,38-078,3,2001-04-09,21:00,2,Hakeem Olajuwon
1,MIN,.750,0,W (+27),HOU,24,,1,8,26.2,4,1,.750,0,6,58,6,58,,9,2,12,+11,2,38-086,9,2001-04-17,28:00,7,Hakeem Olajuwon
