gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,LAL,.556,0,W (+10),HOU,26,,3,14,23.6,5,6,.429,0,6,1,3,1,,10,5,18,1,23-284,17,1986-11-01,44:00,12,Hakeem Olajuwon
1,SAC,.500,0,W (+16),HOU,26,@,1,12,23.0,2,3,.667,0,8,2,2,2,,9,4,18,1,23-287,11,1986-11-04,40:00,7,Hakeem Olajuwon
1,LAC,.500,0,L (-7),HOU,31,,3,10,29.3,4,5,.700,0,7,3,3,3,,12,6,24,3,23-289,17,1986-11-06,43:00,11,Hakeem Olajuwon
1,SAC,.571,0,W (+12),HOU,25,,5,2,29.8,3,4,.500,0,1,4,6,4,,12,10,21,4,23-291,21,1986-11-08,40:00,11,Hakeem Olajuwon
1,SAS,.444,0,W (+21),HOU,21,,3,9,21.5,3,3,.556,0,5,5,4,5,,8,6,18,3,23-294,18,1986-11-11,35:00,12,Hakeem Olajuwon
1,DAL,.500,0,L (-29),HOU,32,@,6,10,21.9,6,1,.600,0,6,6,3,6,,13,7,26,4,23-295,11,1986-11-12,39:00,4,Hakeem Olajuwon
1,CLE,.579,0,W (+28),HOU,24,,4,2,24.0,4,3,1.000,0,2,7,3,7,,11,4,19,6,23-299,9,1986-11-16,35:00,5,Hakeem Olajuwon
1,POR,.500,0,L (-4),HOU,16,,2,7,18.5,6,6,.857,0,6,8,3,8,,5,2,10,4,23-301,4,1986-11-18,22:00,2,Hakeem Olajuwon
1,UTA,.636,0,W (+14),HOU,19,,0,6,22.8,5,4,.833,0,5,9,0,9,,7,3,11,5,23-303,7,1986-11-20,33:00,4,Hakeem Olajuwon
1,WSB,.385,0,L (-16),HOU,17,@,9,12,6.3,4,2,.583,0,7,10,3,10,,5,6,13,1,23-304,7,1986-11-21,34:00,1,Hakeem Olajuwon
1,PHI,.522,0,L (-10),HOU,27,@,4,5,19.1,5,6,.600,0,3,11,1,11,,12,3,23,2,23-306,7,1986-11-23,35:00,4,Hakeem Olajuwon
1,NYK,.526,0,L (-9),HOU,34,@,2,18,36.6,2,4,.778,0,14,12,6,12,,10,8,19,1,23-308,17,1986-11-25,40:00,9,Hakeem Olajuwon
1,SAC,.786,0,W (+13),HOU,28,,1,7,27.1,3,2,.857,0,6,13,2,13,,11,3,14,1,23-326,7,1986-12-13,31:00,4,Hakeem Olajuwon
1,PHO,.500,0,L (-4),HOU,24,,3,15,20.0,3,0,.533,0,8,14,1,14,,8,10,16,0,23-329,21,1986-12-16,42:00,11,Hakeem Olajuwon
1,SEA,.300,0,L (-14),HOU,11,@,2,5,7.6,3,1,1.000,0,5,15,1,15,,3,2,10,1,23-331,8,1986-12-18,26:00,6,Hakeem Olajuwon
1,POR,.571,0,L (-3),HOU,10,@,1,2,8.1,6,2,1.000,0,2,16,3,16,,4,1,7,0,23-332,3,1986-12-19,21:00,2,Hakeem Olajuwon
1,LAL,.389,0,L (-7),HOU,19,,2,10,16.3,4,3,.500,1,5,17,5,17,.000,7,3,18,2,23-334,13,1986-12-21,41:00,10,Hakeem Olajuwon
1,LAC,.636,0,W (+25),HOU,20,,2,7,22.7,3,5,.857,0,6,18,4,18,,7,4,11,0,23-336,11,1986-12-23,31:00,7,Hakeem Olajuwon
1,LAL,.421,0,L (-23),HOU,22,@,4,10,14.1,4,1,.600,0,6,19,3,19,,8,3,19,3,23-339,8,1986-12-26,35:00,5,Hakeem Olajuwon
1,UTA,.353,0,L (-7),HOU,17,@,3,7,14.3,6,3,.714,0,5,20,2,20,,6,4,17,4,23-340,13,1986-12-27,37:00,9,Hakeem Olajuwon
1,LAC,.704,0,W (+3),HOU,44,@,4,8,38.2,4,3,.750,0,6,21,2,21,,19,3,27,3,23-343,14,1986-12-30,42:00,11,Hakeem Olajuwon
1,DEN,.417,0,W (+3),HOU,32,@,4,17,19.2,4,3,.706,0,12,22,0,22,,10,4,24,0,23-346,13,1987-01-02,40:00,9,Hakeem Olajuwon
1,SEA,.500,0,W (+24),HOU,17,,2,5,12.9,2,3,1.000,1,5,23,0,23,.000,6,2,12,0,23-347,6,1987-01-03,32:00,4,Hakeem Olajuwon
1,GSW,.182,0,L (-18),HOU,15,@,5,16,13.9,4,3,.688,0,11,24,4,24,,2,5,11,3,23-350,15,1987-01-06,44:00,10,Hakeem Olajuwon
1,IND,.583,0,W (+14),HOU,19,,6,7,13.9,4,2,.714,0,5,25,3,25,,7,3,12,0,23-352,14,1987-01-08,35:00,11,Hakeem Olajuwon
1,DAL,.458,0,W (+10),HOU,25,,2,6,24.3,5,3,.500,0,3,26,4,26,,11,10,24,2,23-354,20,1987-01-10,41:00,10,Hakeem Olajuwon
1,PHO,.625,0,W (+18),HOU,30,,3,11,28.5,4,4,.909,0,10,27,1,27,,10,3,16,3,23-357,10,1987-01-13,29:00,7,Hakeem Olajuwon
1,CHI,.500,0,W (+11),HOU,20,@,4,9,21.7,3,4,.889,0,8,28,2,28,,6,4,12,3,23-359,15,1987-01-15,37:00,11,Hakeem Olajuwon
1,DET,.632,0,W (+6),HOU,33,@,1,15,25.7,5,1,.600,0,9,29,0,29,,12,4,19,1,23-360,11,1987-01-16,44:00,7,Hakeem Olajuwon
1,BOS,.615,0,L (-23),HOU,20,@,3,6,12.8,4,0,.667,0,4,30,0,30,,8,1,13,1,23-362,9,1987-01-18,32:00,8,Hakeem Olajuwon
1,CLE,.615,0,W (+24),HOU,22,@,2,8,23.4,4,4,.750,0,6,31,1,31,,8,5,13,2,23-363,14,1987-01-19,34:00,9,Hakeem Olajuwon
1,SAS,.667,0,W (+20),HOU,22,@,3,3,16.3,4,2,.667,0,2,32,3,32,,10,2,15,0,24-000,5,1987-01-21,31:00,3,Hakeem Olajuwon
1,NYK,.450,0,W (+14),HOU,18,,2,2,16.5,5,4,.000,0,0,33,6,33,,9,7,20,0,24-002,13,1987-01-23,38:00,6,Hakeem Olajuwon
1,WSB,.600,0,W (+23),HOU,28,,4,5,25.2,2,2,.800,0,4,34,3,34,,12,8,20,1,24-003,13,1987-01-24,31:00,5,Hakeem Olajuwon
1,UTA,.545,0,L (-4),HOU,32,,3,18,24.3,5,2,.444,0,8,35,2,35,,12,5,22,2,24-006,17,1987-01-27,44:00,12,Hakeem Olajuwon
