gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,POR,.350,0,L (-1),HOU,21,@,2,8,13.3,5,4,.875,0,7,1,0,1,,7,1,20,2,27-285,9,1990-11-02,32:00,8,Hakeem Olajuwon
1,SEA,.529,0,L (-12),HOU,26,@,2,9,25.5,3,4,.889,0,8,2,2,2,,9,3,17,3,27-286,10,1990-11-03,41:00,7,Hakeem Olajuwon
1,DEN,.579,0,W (+10),HOU,24,,2,2,22.8,6,3,1.000,0,2,3,7,3,,11,3,19,0,27-289,13,1990-11-06,36:00,10,Hakeem Olajuwon
1,ORL,.438,0,W (+4),HOU,25,,4,13,27.3,3,5,.846,0,11,4,3,4,,7,6,16,3,27-291,19,1990-11-08,38:00,13,Hakeem Olajuwon
1,SAS,.444,0,L (-1),HOU,27,@,2,14,19.4,6,2,.786,0,11,5,0,5,,8,5,18,1,27-293,10,1990-11-10,33:00,5,Hakeem Olajuwon
1,UTA,.560,0,W (+20),HOU,31,,3,3,31.0,5,7,1.000,0,3,6,5,6,,14,3,25,1,27-294,21,1990-11-11,40:00,18,Hakeem Olajuwon
1,LAL,.500,0,L (-5),HOU,21,,8,8,15.4,3,2,.875,0,7,7,6,7,,7,2,14,1,27-298,12,1990-11-15,45:00,10,Hakeem Olajuwon
1,MIA,.643,0,W (+17),HOU,21,,4,5,22.8,4,3,.600,0,3,8,3,8,,9,4,14,5,27-300,12,1990-11-17,36:00,8,Hakeem Olajuwon
1,NYK,.737,0,W (+27),HOU,30,@,4,2,28.2,4,4,1.000,0,2,9,4,9,,14,1,19,4,27-303,5,1990-11-20,33:00,4,Hakeem Olajuwon
1,BOS,.364,0,L (-13),HOU,19,@,1,3,15.9,3,3,1.000,1,3,10,2,10,.000,8,3,22,3,27-304,12,1990-11-21,37:00,9,Hakeem Olajuwon
1,IND,.700,0,L (-1),HOU,29,@,2,3,27.1,4,3,.333,0,1,11,4,11,,14,3,20,0,27-306,16,1990-11-23,43:00,13,Hakeem Olajuwon
1,MIN,.765,0,W (+16),HOU,27,@,3,3,28.5,4,4,.333,0,1,12,4,12,,13,5,17,0,27-308,20,1990-11-25,42:00,15,Hakeem Olajuwon
1,LAC,.538,0,W (+5),HOU,34,,4,6,37.5,3,3,1.000,0,6,13,4,13,,14,6,26,8,27-310,20,1990-11-27,42:00,14,Hakeem Olajuwon
1,UTA,.444,0,L (-11),HOU,19,@,8,3,10.1,3,3,1.000,0,3,14,2,14,,8,1,18,4,27-311,6,1990-11-28,35:00,5,Hakeem Olajuwon
1,SAC,.571,0,W (+24),HOU,18,,3,3,15.5,3,3,.667,0,2,15,0,15,,8,1,14,2,27-314,14,1990-12-01,30:00,13,Hakeem Olajuwon
1,ATL,.542,0,L (-3),HOU,29,,1,4,23.7,6,4,.750,0,3,16,0,16,,13,3,24,1,27-317,17,1990-12-04,45:00,14,Hakeem Olajuwon
1,CHH,.517,0,W (+6),HOU,39,,2,9,38.5,6,6,1.000,0,9,17,2,17,,15,9,29,3,27-319,20,1990-12-06,43:00,11,Hakeem Olajuwon
1,DAL,.500,0,W (+6),HOU,24,@,5,5,20.9,2,4,.800,0,4,18,2,18,,10,6,20,2,27-321,15,1990-12-08,44:00,9,Hakeem Olajuwon
1,BOS,.333,0,L (-12),HOU,18,,1,6,18.0,4,4,.667,0,4,19,4,19,,7,7,21,3,27-323,13,1990-12-10,44:00,6,Hakeem Olajuwon
1,PHI,.462,0,W (+8),HOU,29,@,4,8,20.8,5,1,.625,0,5,20,2,20,,12,2,26,5,27-325,15,1990-12-12,37:00,13,Hakeem Olajuwon
