gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,NJN,.529,0,W (+22),HOU,24,,3,9,29.9,4,5,.667,0,6,1,6,1,,9,4,17,5,30-288,19,1993-11-05,42:00,15,Hakeem Olajuwon
1,POR,.522,0,W (+14),HOU,29,@,4,6,22.1,4,1,.833,0,5,2,7,2,,12,3,23,0,30-290,12,1993-11-07,40:00,9,Hakeem Olajuwon
1,GSW,.591,0,W (+9),HOU,32,@,2,9,26.8,4,4,.667,0,6,3,3,3,,13,4,22,0,30-292,11,1993-11-09,36:00,7,Hakeem Olajuwon
1,MIN,.882,0,W (+8),HOU,36,,7,9,36.7,5,6,.667,0,6,4,3,4,,15,6,17,3,30-294,17,1993-11-11,45:00,11,Hakeem Olajuwon
1,PHO,.526,0,W (+4),HOU,24,,3,6,22.7,2,4,.667,0,4,5,4,5,,10,3,19,1,30-296,16,1993-11-13,44:00,13,Hakeem Olajuwon
1,PHI,.444,0,W (+4),HOU,21,@,2,7,14.1,6,1,.714,0,5,6,3,6,,8,1,18,3,30-298,5,1993-11-15,44:00,4,Hakeem Olajuwon
1,NJN,.308,0,W (+6),HOU,20,@,4,4,13.4,4,6,1.000,0,4,7,3,7,,8,5,26,0,30-299,19,1993-11-16,41:00,14,Hakeem Olajuwon
1,IND,.467,0,W (+16),HOU,19,@,4,8,15.7,3,5,.625,0,5,8,1,8,,7,4,15,2,30-301,10,1993-11-18,38:00,6,Hakeem Olajuwon
1,LAC,.588,0,W (+22),HOU,22,,5,2,18.5,5,2,1.000,0,2,9,2,9,,10,5,17,3,30-303,12,1993-11-20,35:00,7,Hakeem Olajuwon
1,CHI,.591,0,W (+7),HOU,28,,5,3,22.2,3,6,.667,0,2,10,3,10,,13,1,22,1,30-306,11,1993-11-23,45:00,10,Hakeem Olajuwon
1,UTA,.375,0,W (+2),HOU,29,@,3,18,24.0,4,7,.611,0,11,11,2,11,,9,3,24,3,30-307,17,1993-11-24,47:00,14,Hakeem Olajuwon
1,SAC,.448,0,W (+3),HOU,36,@,4,10,21.0,5,2,1.000,0,10,12,0,12,,13,2,29,0,30-309,13,1993-11-26,42:00,11,Hakeem Olajuwon
1,LAC,.250,0,W (+2),HOU,15,@,7,10,7.0,5,4,.700,0,7,13,3,13,,4,1,16,2,30-310,15,1993-11-27,41:00,14,Hakeem Olajuwon
1,MIL,.538,0,W (+11),HOU,20,,3,8,22.4,4,5,.750,0,6,14,6,14,,7,2,13,2,30-313,12,1993-11-30,42:00,10,Hakeem Olajuwon
1,NYK,.556,0,W (+9),HOU,37,@,3,7,32.6,4,3,1.000,0,7,15,5,15,,15,4,27,2,30-315,13,1993-12-02,42:00,9,Hakeem Olajuwon
1,ATL,.571,0,L (-22),HOU,17,@,2,1,12.9,3,2,1.000,1,1,16,0,16,.000,8,3,14,1,30-316,7,1993-12-03,36:00,4,Hakeem Olajuwon
1,CLE,.625,0,W (+1),HOU,22,@,5,3,19.4,2,5,.667,0,2,17,4,17,,10,2,16,1,30-318,9,1993-12-05,40:00,7,Hakeem Olajuwon
1,CHH,.556,0,W (+19),HOU,13,,1,6,13.5,5,4,.500,0,3,18,3,18,,5,0,9,2,30-320,7,1993-12-07,26:00,7,Hakeem Olajuwon
1,MIA,.563,0,W (+6),HOU,28,,2,14,28.0,5,4,.714,0,10,19,4,19,,9,2,16,2,30-322,16,1993-12-09,45:00,14,Hakeem Olajuwon
1,SEA,.643,0,W (+7),HOU,23,,0,10,23.2,4,6,.500,0,5,20,2,20,,9,0,14,2,30-324,8,1993-12-11,43:00,8,Hakeem Olajuwon
1,MIA,.478,0,W (+9),HOU,23,@,6,1,12.7,5,4,1.000,0,1,21,3,21,,11,3,23,0,30-327,11,1993-12-14,37:00,8,Hakeem Olajuwon
1,DAL,.455,0,W (+11),HOU,28,,4,8,24.9,3,4,1.000,0,8,22,3,22,,10,5,22,3,30-331,12,1993-12-18,37:00,7,Hakeem Olajuwon
1,SAS,.533,0,W (+2),HOU,21,@,3,6,19.7,5,2,.833,0,5,23,6,23,,8,2,15,2,30-334,10,1993-12-21,44:00,8,Hakeem Olajuwon
1,DEN,.516,0,L (-13),HOU,35,,4,6,25.7,5,4,.500,0,3,24,3,24,,16,8,31,0,30-336,17,1993-12-23,41:00,9,Hakeem Olajuwon
1,PHO,.455,0,L (-20),HOU,27,@,3,13,23.7,4,4,.538,0,7,25,6,25,,10,3,22,3,30-338,13,1993-12-25,45:00,10,Hakeem Olajuwon
1,LAL,.500,0,W (+25),HOU,17,@,4,5,14.1,4,4,.600,0,3,26,3,26,,7,1,14,1,30-339,14,1993-12-26,36:00,13,Hakeem Olajuwon
1,SEA,.762,0,L (-15),HOU,34,@,3,3,29.8,4,4,.667,0,2,27,3,27,,16,3,21,0,30-341,10,1993-12-28,45:00,7,Hakeem Olajuwon
1,MIN,.560,0,W (+6),HOU,34,@,4,11,32.4,4,8,.545,0,6,28,5,28,,14,2,25,5,30-343,10,1993-12-30,44:00,8,Hakeem Olajuwon
1,POR,.652,1,W (+11),HOU,33,,10,5,20.4,5,6,.400,1,2,29,4,29,1.000,15,1,23,0,30-348,11,1994-01-04,45:00,10,Hakeem Olajuwon
1,DAL,.654,0,W (+12),HOU,37,@,4,5,34.0,3,0,.600,0,3,30,8,30,,17,4,26,3,30-349,14,1994-01-05,38:00,10,Hakeem Olajuwon
1,PHI,.500,0,W (+7),HOU,23,,6,6,15.1,3,1,.500,1,3,31,1,31,.000,10,5,20,2,30-352,17,1994-01-08,36:00,12,Hakeem Olajuwon
1,ORL,.450,1,L (-15),HOU,26,@,3,8,25.5,3,5,.875,1,7,32,5,32,1.000,9,3,20,3,30-354,11,1994-01-10,38:00,8,Hakeem Olajuwon
1,BOS,.500,0,W (+10),HOU,37,@,1,5,31.7,3,4,1.000,1,5,33,6,33,.000,16,4,32,1,30-356,11,1994-01-12,46:00,7,Hakeem Olajuwon
1,WSB,.593,0,L (-18),HOU,45,@,5,14,34.2,3,1,.929,0,13,34,2,34,,16,3,27,2,30-357,10,1994-01-13,42:00,7,Hakeem Olajuwon
1,CHI,.632,0,L (-6),HOU,29,@,8,10,17.1,5,0,.500,0,5,35,4,35,,12,2,19,2,30-359,10,1994-01-15,42:00,8,Hakeem Olajuwon
1,BOS,.500,0,L (-12),HOU,28,,6,3,14.5,3,2,.000,0,0,36,3,36,,14,2,28,1,30-362,12,1994-01-18,41:00,10,Hakeem Olajuwon
1,DEN,.417,0,L (-5),HOU,22,@,3,4,9.4,6,2,.500,0,2,37,1,37,,10,3,24,1,30-364,7,1994-01-20,38:00,4,Hakeem Olajuwon
1,UTA,.520,0,W (+5),HOU,40,,4,19,30.1,3,3,.737,1,14,38,3,38,.000,13,1,25,2,31-001,10,1994-01-22,46:00,9,Hakeem Olajuwon
1,CLE,.300,0,W (+3),HOU,13,,4,1,13.9,5,4,1.000,0,1,39,9,39,,6,1,20,6,31-004,10,1994-01-25,44:00,9,Hakeem Olajuwon
1,SAC,.579,0,W (+16),HOU,24,,4,5,16.6,1,1,.400,0,2,40,6,40,,11,0,19,1,31-006,4,1994-01-27,33:00,4,Hakeem Olajuwon
1,IND,.650,1,L (-11),HOU,27,,3,0,23.8,2,3,,2,0,41,1,41,.500,13,5,20,1,31-008,12,1994-01-29,44:00,7,Hakeem Olajuwon
1,UTA,.500,0,L (-16),HOU,23,@,4,4,14.4,4,2,.750,0,3,42,3,42,,10,2,20,1,31-011,7,1994-02-01,41:00,5,Hakeem Olajuwon
1,LAL,.632,0,W (+11),HOU,28,,3,4,25.1,5,3,1.000,0,4,43,2,43,,12,4,19,1,31-013,15,1994-02-03,38:00,11,Hakeem Olajuwon
1,MIN,.500,0,W (+11),HOU,25,,4,10,20.6,4,8,.500,0,5,44,1,44,,10,2,20,1,31-016,17,1994-02-06,43:00,15,Hakeem Olajuwon
1,MIL,.714,0,L (-8),HOU,27,@,8,9,20.0,5,0,.778,0,7,45,4,45,,10,3,14,2,31-018,12,1994-02-08,44:00,9,Hakeem Olajuwon
1,DET,.571,0,W (+23),HOU,28,@,4,5,24.0,2,3,.800,0,4,46,2,46,,12,4,21,0,31-020,20,1994-02-10,41:00,16,Hakeem Olajuwon
1,ATL,.500,0,W (+4),HOU,28,,2,0,25.3,4,4,,0,0,47,7,47,,14,5,28,1,31-025,14,1994-02-15,46:00,9,Hakeem Olajuwon
1,CHH,.591,0,L (-5),HOU,30,@,1,4,26.3,2,2,1.000,1,4,48,3,48,.000,13,3,22,0,31-026,12,1994-02-16,43:00,9,Hakeem Olajuwon
1,PHO,.294,0,W (+18),HOU,14,,1,5,11.3,2,5,.800,0,4,49,2,49,,5,1,17,2,31-029,7,1994-02-19,36:00,6,Hakeem Olajuwon
1,DEN,.536,0,W (+1),HOU,33,,4,4,26.7,3,5,.750,0,3,50,3,50,,15,6,28,1,31-032,13,1994-02-22,46:00,7,Hakeem Olajuwon
1,NYK,.500,0,W (+20),HOU,29,,2,15,27.0,2,2,.600,0,9,51,2,51,,10,6,20,2,31-034,20,1994-02-24,40:00,14,Hakeem Olajuwon
1,UTA,.409,0,L (-10),HOU,23,,5,6,15.7,3,3,.833,0,5,52,1,52,,9,4,22,4,31-036,9,1994-02-26,44:00,5,Hakeem Olajuwon
1,UTA,.500,0,L (-4),HOU,20,@,2,12,16.9,3,8,.500,0,6,53,2,53,,7,1,14,0,31-038,7,1994-02-28,38:00,6,Hakeem Olajuwon
1,ORL,.600,0,W (+12),HOU,26,,2,4,25.2,3,6,.500,0,2,54,5,54,,12,4,20,1,31-039,7,1994-03-01,37:00,3,Hakeem Olajuwon
1,LAC,.684,0,W (+17),HOU,30,,3,5,30.5,2,3,.800,0,4,55,5,55,,13,4,19,2,31-043,12,1994-03-05,34:00,8,Hakeem Olajuwon
1,SAS,.500,0,L (-16),HOU,28,@,1,8,22.3,3,1,.750,0,6,56,3,56,,11,3,22,1,31-046,11,1994-03-08,39:00,8,Hakeem Olajuwon
1,SEA,.667,0,W (+5),HOU,23,,1,3,25.4,4,6,1.000,0,3,57,3,57,,10,2,15,2,31-048,8,1994-03-10,39:00,6,Hakeem Olajuwon
1,SAS,.435,0,L (-11),HOU,27,,4,8,24.3,5,5,.875,0,7,58,5,58,,10,6,23,1,31-050,18,1994-03-12,37:00,12,Hakeem Olajuwon
1,DAL,.353,0,W (+7),HOU,18,@,3,8,11.7,5,5,.750,0,6,59,2,59,,6,1,17,1,31-051,9,1994-03-13,44:00,8,Hakeem Olajuwon
1,POR,.708,0,W (+6),HOU,41,,3,8,38.7,2,2,.875,1,7,60,6,60,.000,17,1,24,2,31-053,13,1994-03-15,46:00,12,Hakeem Olajuwon
1,GSW,.381,1,W (+13),HOU,19,,4,2,12.3,3,2,1.000,1,2,61,4,61,1.000,8,4,21,0,31-055,14,1994-03-17,42:00,10,Hakeem Olajuwon
1,DET,.481,0,W (+18),HOU,32,,1,7,25.9,1,1,.857,0,6,62,4,62,,13,4,27,1,31-057,11,1994-03-19,40:00,7,Hakeem Olajuwon
1,WSB,.667,0,W (+16),HOU,35,,0,6,30.6,2,2,.500,1,3,63,2,63,.000,16,0,24,1,31-059,14,1994-03-21,43:00,14,Hakeem Olajuwon
1,MIN,.370,1,L (-2),HOU,25,@,2,6,16.0,2,1,.667,1,4,64,3,64,1.000,10,5,27,2,31-060,9,1994-03-22,40:00,4,Hakeem Olajuwon
1,LAL,.591,0,W (+6),HOU,37,,4,13,31.7,5,6,.846,0,11,65,4,65,,13,1,22,1,31-062,11,1994-03-24,45:00,10,Hakeem Olajuwon
1,UTA,.480,1,W (+15),HOU,37,,0,15,34.1,1,2,.800,1,12,66,3,66,1.000,12,3,25,1,31-064,19,1994-03-26,44:00,16,Hakeem Olajuwon
1,PHO,.563,0,L (-15),HOU,21,@,5,4,17.6,3,5,.750,0,3,67,4,67,,9,3,16,0,31-065,11,1994-03-27,38:00,8,Hakeem Olajuwon
