gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,LAL,.571,0,W (+5),HOU,29,,8,6,22.9,6,0,.833,0,5,1,2,1,,12,7,21,5,28-284,18,1991-11-01,49:00,11,Hakeem Olajuwon
1,DEN,.556,0,L (-8),HOU,25,@,5,7,18.7,6,3,.714,0,5,2,0,2,,10,3,18,3,28-285,14,1991-11-02,41:00,11,Hakeem Olajuwon
1,POR,.556,0,W (+7),HOU,27,,4,8,27.3,5,5,.875,0,7,3,0,3,,10,7,18,3,28-288,20,1991-11-05,43:00,13,Hakeem Olajuwon
1,CLE,.500,0,W (+19),HOU,12,,1,0,9.7,3,1,,0,0,4,2,4,,6,2,12,0,28-290,10,1991-11-07,28:00,8,Hakeem Olajuwon
1,PHO,.400,0,W (+1),HOU,20,,1,5,18.6,3,4,.800,0,4,5,1,5,,8,5,20,2,28-292,15,1991-11-09,33:00,10,Hakeem Olajuwon
1,DAL,.571,0,W (+6),HOU,16,@,2,0,16.4,2,6,,0,0,6,3,6,,8,2,14,0,28-295,9,1991-11-12,34:00,7,Hakeem Olajuwon
1,LAL,.350,0,L (-12),HOU,18,@,3,7,12.4,2,5,.571,0,4,7,3,7,,7,1,20,1,28-298,12,1991-11-15,39:00,11,Hakeem Olajuwon
1,SAC,.714,0,W (+9),HOU,23,@,3,6,20.1,3,1,.500,0,3,8,2,8,,10,5,14,0,28-299,14,1991-11-16,28:00,9,Hakeem Olajuwon
1,NYK,.625,0,W (+11),HOU,25,,2,7,25.6,3,3,.714,0,5,9,3,9,,10,1,16,3,28-302,14,1991-11-19,38:00,13,Hakeem Olajuwon
0,UTA,.571,0,L (-5),HOU,28,,2,9,23.0,4,4,.444,0,4,10,1,10,,12,6,21,1,28-320,12,1991-12-07,33:00,6,Hakeem Olajuwon
1,POR,.444,0,W (+2),HOU,25,@,6,9,16.6,5,2,1.000,0,9,11,3,11,,8,2,18,2,28-323,9,1991-12-10,37:00,7,Hakeem Olajuwon
1,GSW,.600,0,W (+3),HOU,33,@,3,13,31.4,4,5,.692,0,9,12,0,12,,12,6,20,1,28-325,23,1991-12-12,39:00,17,Hakeem Olajuwon
1,SAS,.444,0,L (-7),HOU,20,,2,8,18.5,5,4,.500,0,4,13,5,13,,8,4,18,2,28-327,12,1991-12-14,42:00,8,Hakeem Olajuwon
1,WSB,.375,0,W (+3),HOU,15,,1,4,17.4,2,4,.750,0,3,14,5,14,,6,2,16,3,28-330,11,1991-12-17,42:00,9,Hakeem Olajuwon
1,SAC,.615,0,W (+7),HOU,21,,1,7,24.1,2,5,.714,0,5,15,2,15,,8,4,13,0,28-332,17,1991-12-19,35:00,13,Hakeem Olajuwon
1,CHH,.385,0,W (+4),HOU,12,@,4,4,10.7,3,8,.500,0,2,16,0,16,,5,3,13,2,28-333,10,1991-12-20,30:00,7,Hakeem Olajuwon
1,ORL,.375,0,W (+5),HOU,17,@,3,6,18.2,6,8,.833,0,5,17,4,17,,6,3,16,2,28-335,14,1991-12-22,33:00,11,Hakeem Olajuwon
1,DAL,.444,0,L (-20),HOU,21,,4,5,16.1,3,5,1.000,0,5,18,3,18,,8,1,18,1,28-336,9,1991-12-23,40:00,8,Hakeem Olajuwon
1,NJN,.429,0,L (-6),HOU,17,@,4,7,10.0,3,3,.714,0,5,19,2,19,,6,2,14,0,28-339,7,1991-12-26,34:00,5,Hakeem Olajuwon
1,WSB,.684,0,W (+7),HOU,26,@,1,0,24.2,3,2,,0,0,20,3,20,,13,1,19,1,28-340,12,1991-12-27,43:00,11,Hakeem Olajuwon
1,MIL,.667,0,L (-10),HOU,27,@,2,5,23.2,3,6,.600,0,3,21,0,21,,12,2,18,0,28-342,10,1991-12-29,38:00,8,Hakeem Olajuwon
1,CLE,.417,0,L (-32),HOU,12,@,1,4,8.1,3,1,.500,0,2,22,1,22,,5,2,12,0,28-343,11,1991-12-30,26:00,9,Hakeem Olajuwon
1,DET,.333,0,L (-23),HOU,16,,5,6,10.0,1,2,.667,0,4,23,2,23,,6,5,18,2,28-346,12,1992-01-02,37:00,7,Hakeem Olajuwon
1,SAS,.500,0,W (+2),HOU,27,@,0,8,26.9,5,5,.875,0,7,24,2,24,,10,1,20,4,28-348,10,1992-01-04,47:00,9,Hakeem Olajuwon
1,ATL,.353,0,L (-12),HOU,12,@,0,0,9.5,3,5,,0,0,25,0,25,,6,1,17,1,28-350,11,1992-01-06,35:00,10,Hakeem Olajuwon
1,PHI,.600,0,L (-10),HOU,28,@,2,7,21.8,4,1,.571,0,4,26,0,26,,12,2,20,3,28-352,11,1992-01-08,35:00,9,Hakeem Olajuwon
1,MIA,.440,0,W (+4),HOU,30,@,3,10,26.0,5,8,.800,1,8,27,2,27,.000,11,5,25,2,28-354,13,1992-01-10,47:00,8,Hakeem Olajuwon
1,SEA,.444,0,W (+4),HOU,23,,2,8,17.6,2,1,.875,0,7,28,0,28,,8,3,18,2,28-355,11,1992-01-11,39:00,8,Hakeem Olajuwon
1,DEN,.556,0,W (+17),HOU,25,,7,7,20.9,4,9,.714,0,5,29,0,29,,10,4,18,3,28-358,10,1992-01-14,39:00,6,Hakeem Olajuwon
1,GSW,.278,0,L (-7),HOU,12,,2,6,16.6,2,9,.333,0,2,30,4,30,,5,7,18,2,28-360,19,1992-01-16,40:00,12,Hakeem Olajuwon
1,UTA,.500,0,L (-28),HOU,13,@,4,4,7.8,6,1,.750,0,3,31,1,31,,5,3,10,1,28-362,10,1992-01-18,26:00,7,Hakeem Olajuwon
1,MIL,.450,0,W (+10),HOU,23,,2,7,22.9,4,6,.714,0,5,32,6,32,,9,6,20,0,29-000,13,1992-01-21,39:00,7,Hakeem Olajuwon
1,LAC,.412,0,W (+13),HOU,20,,0,8,23.7,2,6,.750,0,6,33,3,33,,7,3,17,3,29-002,13,1992-01-23,39:00,10,Hakeem Olajuwon
1,CHI,.385,0,L (-14),HOU,17,@,3,7,14.4,4,3,1.000,0,7,34,1,34,,5,5,13,1,29-004,11,1992-01-25,36:00,6,Hakeem Olajuwon
1,MIN,.476,0,W (+9),HOU,34,,4,18,30.8,5,3,.778,0,14,35,5,35,,10,4,21,1,29-007,23,1992-01-28,42:00,19,Hakeem Olajuwon
1,CHI,.579,0,W (+3),HOU,24,,2,6,20.4,4,8,.333,0,2,36,0,36,,11,4,19,0,29-009,11,1992-01-30,41:00,7,Hakeem Olajuwon
1,PHO,.357,0,L (-14),HOU,11,@,1,2,8.5,2,6,.500,0,1,37,1,37,,5,2,14,0,29-011,6,1992-02-01,31:00,4,Hakeem Olajuwon
1,IND,.667,0,W (+11),HOU,21,,4,5,24.5,4,9,1.000,0,5,38,2,38,,8,1,12,2,29-013,14,1992-02-03,37:00,13,Hakeem Olajuwon
1,BOS,.409,0,L (-13),HOU,24,@,1,7,16.9,4,3,.857,0,6,39,0,39,,9,4,22,1,29-015,10,1992-02-05,42:00,6,Hakeem Olajuwon
1,NYK,.389,0,L (-17),HOU,14,@,2,2,12.9,4,3,.000,0,0,40,3,40,,7,5,18,3,29-016,13,1992-02-06,40:00,8,Hakeem Olajuwon
1,SEA,.727,0,L (-6),HOU,40,@,2,8,40.9,4,4,1.000,0,8,41,0,41,,16,10,22,1,29-021,19,1992-02-11,42:00,9,Hakeem Olajuwon
1,LAC,.368,0,L (-2),HOU,17,@,3,4,13.9,4,9,.750,0,3,42,2,42,,7,2,19,0,29-022,13,1992-02-12,37:00,11,Hakeem Olajuwon
1,BOS,.563,0,W (+6),HOU,23,,0,6,28.6,2,7,.833,0,5,43,5,43,,9,4,16,2,29-024,8,1992-02-14,38:00,4,Hakeem Olajuwon
1,DAL,.529,0,L (-4),HOU,22,@,3,4,22.1,3,3,1.000,0,4,44,2,44,,9,2,17,5,29-025,11,1992-02-15,41:00,9,Hakeem Olajuwon
