gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,GSW,.615,0,W (+18),HOU,16,,5,2,11.0,4,3,.000,0,0,1,2,1,,8,1,13,2,32-286,8,1995-11-03,29:00,7,Hakeem Olajuwon
1,PHO,.500,0,W (+2),HOU,24,@,3,5,15.9,2,2,.400,0,2,2,1,2,,11,3,22,1,32-288,12,1995-11-05,41:00,9,Hakeem Olajuwon
1,MIL,.571,0,W (+17),HOU,26,,2,12,22.5,5,3,.833,0,10,3,1,3,,8,1,14,2,32-290,9,1995-11-07,34:00,8,Hakeem Olajuwon
1,MIA,.364,0,L (-7),HOU,22,@,1,8,15.8,3,4,.750,1,6,4,2,4,.000,8,0,22,3,32-291,6,1995-11-08,42:00,6,Hakeem Olajuwon
1,MIN,.533,0,W (+22),HOU,21,,1,8,20.1,3,1,.625,0,5,5,3,5,,8,4,15,3,32-294,8,1995-11-11,31:00,4,Hakeem Olajuwon
1,TOR,.500,0,W (+3),HOU,17,@,4,18,15.6,5,7,.389,0,7,6,4,6,,5,0,10,3,32-298,11,1995-11-15,42:00,11,Hakeem Olajuwon
1,MIL,.611,0,W (+28),HOU,24,@,1,2,21.6,1,1,1.000,0,2,7,3,7,,11,2,18,0,32-299,12,1995-11-16,32:00,10,Hakeem Olajuwon
1,DEN,.409,0,W (+4),HOU,20,,6,5,8.8,2,3,.400,0,2,8,1,8,,9,2,22,2,32-301,10,1995-11-18,39:00,8,Hakeem Olajuwon
1,BOS,.385,0,W (+5),HOU,24,@,2,5,13.7,4,3,.800,0,4,9,1,9,,10,1,26,2,32-303,9,1995-11-20,38:00,8,Hakeem Olajuwon
1,PHI,.571,0,W (+9),HOU,28,@,2,8,22.3,5,7,.500,0,4,10,4,10,,12,0,21,0,32-305,7,1995-11-22,38:00,7,Hakeem Olajuwon
1,IND,.462,0,W (+7),HOU,15,@,5,5,8.1,5,1,.600,0,3,11,2,11,,6,1,13,3,32-306,7,1995-11-23,31:00,6,Hakeem Olajuwon
1,NYK,.333,0,L (-15),HOU,9,@,2,1,1.4,5,0,1.000,0,1,12,1,12,,4,0,12,1,32-308,5,1995-11-25,23:00,5,Hakeem Olajuwon
1,DET,.600,0,L (-2),HOU,19,@,1,10,18.0,3,2,.700,0,7,13,5,13,,6,0,10,0,32-309,7,1995-11-26,33:00,7,Hakeem Olajuwon
1,LAC,.579,0,W (+13),HOU,30,,4,8,33.7,5,5,1.000,1,8,14,6,14,.000,11,8,19,2,32-311,19,1995-11-28,42:00,11,Hakeem Olajuwon
1,UTA,.500,0,L (-7),HOU,31,,3,16,28.7,3,3,.813,0,13,15,5,15,,9,4,18,1,32-313,13,1995-11-30,45:00,9,Hakeem Olajuwon
1,CHH,.500,1,W (+15),HOU,19,,2,6,16.0,4,0,.667,1,4,16,2,16,1.000,7,1,14,3,32-315,12,1995-12-02,32:00,11,Hakeem Olajuwon
1,UTA,.400,0,W (+3),HOU,25,@,7,14,15.8,5,5,.643,0,9,17,6,17,,8,3,20,1,32-318,9,1995-12-05,40:00,6,Hakeem Olajuwon
1,LAL,.591,0,W (+13),HOU,30,,3,6,25.6,3,2,.667,0,4,18,1,18,,13,7,22,2,32-319,13,1995-12-06,28:00,6,Hakeem Olajuwon
1,WSB,.481,1,W (+6),HOU,34,,4,9,23.2,5,5,.778,1,7,19,1,19,1.000,13,3,27,1,32-321,11,1995-12-08,39:00,8,Hakeem Olajuwon
1,POR,.333,0,L (-2),HOU,21,@,5,11,10.0,4,1,.455,0,5,20,4,20,,8,5,24,1,32-323,17,1995-12-10,52:00,12,Hakeem Olajuwon
1,SAC,.591,0,W (+40),HOU,31,@,4,6,27.6,2,4,.833,0,5,21,5,21,,13,3,22,0,32-325,15,1995-12-12,32:00,12,Hakeem Olajuwon
1,VAN,.357,0,W (+11),HOU,15,@,4,10,15.5,2,10,.500,0,5,22,3,22,,5,2,14,1,32-326,14,1995-12-13,38:00,12,Hakeem Olajuwon
1,SAC,.619,0,L (-4),HOU,37,,6,14,28.2,1,2,.786,0,11,23,2,23,,13,1,21,3,32-328,7,1995-12-15,40:00,6,Hakeem Olajuwon
1,PHO,.484,0,W (+7),HOU,31,,2,2,26.3,1,2,.500,0,1,24,5,24,,15,7,31,1,32-332,17,1995-12-19,46:00,10,Hakeem Olajuwon
1,POR,.379,0,W (+5),HOU,30,,4,9,21.3,4,5,.889,0,8,25,2,25,,11,2,29,3,32-334,15,1995-12-21,43:00,13,Hakeem Olajuwon
1,SAS,.458,0,L (-15),HOU,27,@,0,7,21.9,3,1,.714,0,5,26,5,26,,11,3,24,0,32-336,13,1995-12-23,43:00,10,Hakeem Olajuwon
1,ORL,.462,0,L (-2),HOU,30,@,1,6,24.1,4,1,1.000,0,6,27,6,27,,12,4,26,0,32-338,12,1995-12-25,42:00,8,Hakeem Olajuwon
1,VAN,.500,0,W (+16),HOU,18,,3,7,14.9,2,3,.571,0,4,28,2,28,,7,0,14,3,32-339,8,1995-12-26,40:00,8,Hakeem Olajuwon
1,NJN,.556,0,W (+15),HOU,22,,6,3,22.5,2,1,.667,0,2,29,10,29,,10,3,18,2,32-341,18,1995-12-28,38:00,15,Hakeem Olajuwon
1,DAL,.462,0,W (+3),HOU,35,@,4,13,27.1,2,4,.846,0,11,30,6,30,,12,2,26,0,32-343,11,1995-12-30,38:00,9,Hakeem Olajuwon
1,MIN,.571,0,W (+5),HOU,28,@,2,4,24.6,4,0,1.000,0,4,31,8,31,,12,3,21,0,32-346,11,1996-01-02,41:00,8,Hakeem Olajuwon
1,CHI,.500,0,L (-14),HOU,23,@,4,8,15.0,1,1,.625,1,5,32,3,32,.000,9,2,18,0,32-347,10,1996-01-03,38:00,8,Hakeem Olajuwon
1,IND,.444,0,W (+12),HOU,22,,3,6,22.7,3,3,1.000,0,6,33,5,33,,8,3,18,3,32-350,15,1996-01-06,35:00,12,Hakeem Olajuwon
1,SAS,.500,1,L (-6),HOU,25,,8,7,20.4,5,5,.857,1,6,34,2,34,1.000,9,6,18,3,32-353,15,1996-01-09,44:00,9,Hakeem Olajuwon
1,LAL,.474,0,L (-1),HOU,24,@,3,12,16.0,5,3,.500,1,6,35,6,35,.000,9,1,19,0,32-356,8,1996-01-12,37:00,7,Hakeem Olajuwon
1,LAC,.333,0,W (+11),HOU,29,@,3,15,22.7,3,2,.867,0,13,36,4,36,,8,5,24,1,32-357,17,1996-01-13,42:00,12,Hakeem Olajuwon
1,UTA,.565,0,W (+8),HOU,28,,4,3,18.4,4,2,.667,0,2,37,4,37,,13,1,23,0,32-359,9,1996-01-15,36:00,8,Hakeem Olajuwon
1,DEN,.481,0,W (+8),HOU,37,@,3,14,26.3,4,3,.786,2,11,38,5,38,.000,13,1,27,1,32-361,6,1996-01-17,44:00,5,Hakeem Olajuwon
1,BOS,.541,0,L (-2),HOU,51,,2,14,41.4,3,2,.786,0,11,39,3,39,,20,5,37,3,32-362,14,1996-01-18,45:00,9,Hakeem Olajuwon
1,ORL,.464,0,L (-1),HOU,30,,1,6,24.9,3,2,.667,0,4,40,2,40,,13,3,28,5,33-000,11,1996-01-21,45:00,8,Hakeem Olajuwon
1,ATL,.643,0,L (-9),HOU,20,@,5,3,15.1,4,1,.667,0,2,41,3,41,,9,2,14,2,33-001,9,1996-01-22,42:00,7,Hakeem Olajuwon
1,NJN,.615,0,W (+9),HOU,36,@,4,4,26.0,4,4,1.000,2,4,42,1,42,.000,16,1,26,2,33-003,5,1996-01-24,40:00,4,Hakeem Olajuwon
1,WSB,.435,0,L (-35),HOU,22,@,3,2,9.7,3,1,1.000,0,2,43,1,43,,10,2,23,0,33-004,6,1996-01-25,31:00,4,Hakeem Olajuwon
1,DET,.533,0,W (+20),HOU,17,,4,2,14.8,4,4,.500,0,1,44,4,44,,8,3,15,1,33-006,11,1996-01-27,40:00,8,Hakeem Olajuwon
1,CHI,.464,0,L (-11),HOU,31,,2,7,19.1,4,2,.714,0,5,45,2,45,,13,1,28,1,33-009,9,1996-01-30,47:00,8,Hakeem Olajuwon
1,CHH,.682,0,W (+5),HOU,32,@,4,2,26.4,2,5,1.000,0,2,46,0,46,,15,2,22,1,33-011,11,1996-02-01,43:00,9,Hakeem Olajuwon
