gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,plus_minus,stl,age,trb,date_game,mp,drb,player_name
1,NYK,.000,0,L (-4),TOR,2,,0,2,1.1,0,0,1.000,0,2,34,0,34,,0,3,7,-9,1,39-002,6,2002-01-23,15:00,3,Hakeem Olajuwon
1,MIN,.833,0,W (+7),TOR,10,,1,0,12.2,3,2,,0,0,35,4,35,,5,3,6,+7,0,39-004,4,2002-01-25,25:00,1,Hakeem Olajuwon
1,ORL,.571,0,W (+9),TOR,8,,1,1,6.6,1,1,.000,0,0,36,1,36,,4,1,7,+17,1,39-006,3,2002-01-27,14:00,2,Hakeem Olajuwon
0,SEA,.500,0,L (-9),TOR,2,,1,0,1.3,2,1,,0,0,37,1,37,,1,1,2,+2,0,39-034,1,2002-02-24,13:00,0,Hakeem Olajuwon
0,ORL,.200,0,L (-5),TOR,2,,0,0,3.2,2,5,,0,0,38,0,38,,1,1,5,+5,0,39-037,4,2002-02-27,15:00,3,Hakeem Olajuwon
0,POR,.571,0,L (-10),TOR,9,,2,2,8.2,3,2,.500,0,1,39,1,39,,4,4,7,-7,0,39-039,8,2002-03-01,20:00,4,Hakeem Olajuwon
1,PHI,.375,0,L (-12),TOR,12,,1,0,12.3,1,1,,0,0,40,4,40,,6,4,16,-11,3,39-041,8,2002-03-03,38:00,4,Hakeem Olajuwon
1,HOU,.500,0,L (-3),TOR,7,@,0,4,8.1,2,0,.750,0,3,41,2,41,,2,2,4,-10,0,39-043,7,2002-03-05,25:00,5,Hakeem Olajuwon
0,DAL,1.000,0,L (-19),TOR,2,@,1,2,2.1,1,0,.000,0,0,42,2,42,,1,0,1,+9,0,39-045,4,2002-03-07,9:00,4,Hakeem Olajuwon
0,MIA,.600,0,W (+9),TOR,13,@,0,1,12.4,3,1,1.000,0,1,43,0,43,,6,1,10,+16,2,39-046,7,2002-03-08,24:00,6,Hakeem Olajuwon
0,ORL,.125,0,L (-13),TOR,2,@,2,0,-4.6,4,0,,0,0,44,0,44,,1,1,8,-3,0,39-048,6,2002-03-10,14:00,5,Hakeem Olajuwon
0,NJN,.400,0,L (-2),TOR,5,@,1,2,2.3,3,0,.500,0,1,45,0,45,,2,0,5,-1,2,39-050,2,2002-03-12,13:00,2,Hakeem Olajuwon
0,SAC,.375,0,L (-3),TOR,7,,1,4,6.0,2,1,.250,1,1,46,0,46,.000,3,2,8,+6,1,39-055,13,2002-03-17,27:00,11,Hakeem Olajuwon
0,MIN,.250,0,L (-32),TOR,2,@,1,0,0.4,3,1,,0,0,47,0,47,,1,2,4,-9,0,39-057,5,2002-03-19,18:00,3,Hakeem Olajuwon
0,CLE,.333,0,W (+14),TOR,5,@,1,2,4.1,3,3,.500,0,1,48,2,48,,2,1,6,+13,0,39-060,4,2002-03-22,18:00,3,Hakeem Olajuwon
0,WAS,.250,0,W (+1),TOR,2,,4,0,0.3,0,1,,0,0,49,3,49,,1,1,4,+4,0,39-062,5,2002-03-24,14:00,4,Hakeem Olajuwon
0,MIA,.000,0,W (+1),TOR,0,,1,0,-0.8,1,0,,0,0,50,0,50,,0,0,2,+8,2,39-065,0,2002-03-27,8:00,0,Hakeem Olajuwon
0,ATL,.600,0,W (+2),TOR,6,@,3,0,1.4,3,0,,0,0,51,1,51,,3,0,5,+2,0,39-066,4,2002-03-28,15:00,4,Hakeem Olajuwon
0,PHI,.500,0,W (+2),TOR,9,@,0,1,6.7,2,0,1.000,0,1,52,0,52,,4,0,8,0,1,39-069,5,2002-03-31,17:00,5,Hakeem Olajuwon
0,CHI,.286,0,W (+13),TOR,4,,1,0,0.4,3,2,,0,0,53,0,53,,2,1,7,-3,0,39-072,3,2002-04-03,19:00,2,Hakeem Olajuwon
0,CHI,.800,0,W (+2),TOR,9,@,1,2,8.2,2,0,.500,0,1,54,1,54,,4,0,5,0,2,39-074,2,2002-04-05,15:00,2,Hakeem Olajuwon
0,IND,.667,0,W (+10),TOR,8,,2,0,6.3,1,1,,0,0,55,0,55,,4,1,6,+3,1,39-076,4,2002-04-07,16:00,3,Hakeem Olajuwon
0,CHH,.800,0,W (+4),TOR,9,,1,2,9.3,1,0,.500,0,1,56,0,56,,4,2,5,+10,2,39-078,4,2002-04-09,21:00,2,Hakeem Olajuwon
0,IND,.200,0,L (-16),TOR,2,@,1,0,3.1,4,3,,0,0,57,0,57,,1,2,5,+13,3,39-079,3,2002-04-10,20:00,1,Hakeem Olajuwon
0,ATL,.500,0,W (+39),TOR,7,,2,4,6.8,2,2,.750,0,3,58,1,58,,2,1,4,+16,1,39-081,5,2002-04-12,21:00,4,Hakeem Olajuwon
0,NJN,.833,0,W (+19),TOR,10,,2,0,9.1,4,3,,0,0,59,0,59,,5,0,6,-9,1,39-083,6,2002-04-14,22:00,6,Hakeem Olajuwon
0,MIL,.600,0,L (-16),TOR,6,@,1,0,3.4,3,0,,0,0,60,0,60,,3,0,5,-4,1,39-085,3,2002-04-16,14:00,3,Hakeem Olajuwon
0,CLE,.333,0,W (+18),TOR,4,,0,0,3.5,1,0,,0,0,61,2,61,,2,1,6,+14,0,39-086,5,2002-04-17,11:00,4,Hakeem Olajuwon
