gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,LAC,.467,0,L (-14),HOU,19,@,5,8,12.5,6,5,.625,0,5,1,2,1,,7,2,15,2,26-286,7,1989-11-03,33:00,5,Hakeem Olajuwon
1,GSW,.467,0,W (+27),HOU,16,@,1,5,11.6,4,1,.400,0,2,2,1,2,,7,2,15,1,26-287,13,1989-11-04,27:00,11,Hakeem Olajuwon
1,POR,.313,0,W (+23),HOU,13,,4,7,8.3,3,2,.429,1,3,3,1,3,.000,5,3,16,2,26-290,20,1989-11-07,33:00,17,Hakeem Olajuwon
1,DEN,.577,0,L (-1),HOU,33,,3,6,30.2,2,6,.500,0,3,4,5,4,,15,2,26,2,26-292,13,1989-11-09,41:00,11,Hakeem Olajuwon
1,UTA,.455,0,W (+8),HOU,24,,5,9,27.5,5,12,.444,0,4,5,2,5,,10,7,22,5,26-294,21,1989-11-11,42:00,14,Hakeem Olajuwon
1,MIA,.500,0,L (-2),HOU,13,@,3,7,9.4,5,5,.429,0,3,6,2,6,,5,1,10,0,26-297,9,1989-11-14,28:00,8,Hakeem Olajuwon
1,LAC,.471,0,W (+12),HOU,18,,5,2,18.1,4,7,1.000,0,2,7,3,7,,8,4,17,2,26-299,16,1989-11-16,38:00,12,Hakeem Olajuwon
1,DEN,.571,0,L (-30),HOU,11,@,1,4,10.4,1,2,.750,0,3,8,4,8,,4,0,7,0,26-301,1,1989-11-18,23:00,1,Hakeem Olajuwon
1,MIA,.800,0,W (+38),HOU,12,,5,4,13.6,3,5,1.000,0,4,9,1,9,,4,3,5,1,26-302,11,1989-11-19,27:00,8,Hakeem Olajuwon
1,NYK,.476,0,L (-8),HOU,23,@,8,4,12.3,6,4,.750,0,3,10,1,10,,10,5,21,2,26-304,11,1989-11-21,33:00,6,Hakeem Olajuwon
1,BOS,.273,0,L (-12),HOU,18,@,3,6,8.9,3,2,1.000,0,6,11,2,11,,6,4,22,1,26-305,9,1989-11-22,35:00,5,Hakeem Olajuwon
1,CHH,.524,0,W (+4),HOU,25,@,4,4,24.4,3,5,.750,0,3,12,7,12,,11,5,21,1,26-307,13,1989-11-24,43:00,8,Hakeem Olajuwon
1,CLE,.643,0,W (+10),HOU,21,@,2,4,21.0,3,4,.750,0,3,13,3,13,,9,3,14,1,26-308,9,1989-11-25,27:00,6,Hakeem Olajuwon
1,LAL,.368,0,W (+6),HOU,17,,4,4,9.8,3,4,.750,0,3,14,3,14,,7,1,19,0,26-311,12,1989-11-28,40:00,11,Hakeem Olajuwon
1,CHH,.900,0,W (+12),HOU,21,,6,5,16.8,3,1,.600,0,3,15,3,15,,9,1,10,1,26-313,10,1989-11-30,25:00,9,Hakeem Olajuwon
1,DAL,.652,1,L (-3),HOU,33,,7,2,31.5,3,7,1.000,1,2,16,4,16,1.000,15,5,23,2,26-315,17,1989-12-02,43:00,12,Hakeem Olajuwon
1,SEA,.643,0,L (-10),HOU,25,@,6,8,21.5,6,3,.875,0,7,17,1,17,,9,3,14,3,26-318,15,1989-12-05,36:00,12,Hakeem Olajuwon
1,NJN,.571,0,L (-5),HOU,26,,9,6,17.6,4,2,.333,0,2,18,4,18,,12,3,21,5,26-321,11,1989-12-08,44:00,8,Hakeem Olajuwon
1,UTA,.381,0,L (-14),HOU,19,@,2,6,10.7,3,5,.500,0,3,19,1,19,,8,0,21,1,26-322,8,1989-12-09,29:00,8,Hakeem Olajuwon
1,PHO,.423,0,W (+22),HOU,25,,2,6,25.6,5,9,.500,0,3,20,5,20,,11,2,26,3,26-325,20,1989-12-12,40:00,18,Hakeem Olajuwon
1,SAS,.294,0,L (-4),HOU,15,@,7,6,7.9,5,3,.833,0,5,21,3,21,,5,3,17,2,26-327,16,1989-12-14,39:00,13,Hakeem Olajuwon
1,PHO,.462,0,L (-25),HOU,17,@,3,9,15.2,2,2,.556,0,5,22,1,22,,6,7,13,3,26-328,8,1989-12-15,31:00,1,Hakeem Olajuwon
1,ORL,.556,0,W (+15),HOU,32,,5,20,34.9,4,10,.600,0,12,23,2,23,,10,6,18,3,26-330,25,1989-12-17,43:00,19,Hakeem Olajuwon
1,POR,.500,0,L (-19),HOU,24,@,2,12,20.6,5,3,.833,0,10,24,4,24,,7,1,14,1,26-332,7,1989-12-19,36:00,6,Hakeem Olajuwon
1,GSW,.652,0,L (-6),HOU,41,@,5,15,34.6,4,1,.733,0,11,25,4,25,,15,3,23,3,26-333,14,1989-12-20,47:00,11,Hakeem Olajuwon
1,SAC,.429,0,W (+11),HOU,29,,3,14,30.2,3,5,.786,0,11,26,1,26,,9,8,21,4,26-335,21,1989-12-22,44:00,13,Hakeem Olajuwon
1,MIL,.519,0,L (-7),HOU,34,@,5,7,23.9,4,1,.857,0,6,27,3,27,,14,2,27,3,26-339,12,1989-12-26,47:00,10,Hakeem Olajuwon
1,MIN,.536,0,L (-17),HOU,32,@,2,2,23.9,3,4,1.000,0,2,28,1,28,,15,2,28,2,26-340,8,1989-12-27,43:00,6,Hakeem Olajuwon
1,IND,.500,0,L (-6),HOU,28,@,2,7,22.2,2,1,.571,0,4,29,0,29,,12,8,24,3,26-342,11,1989-12-29,41:00,3,Hakeem Olajuwon
1,CHH,.476,0,L (-19),HOU,21,@,5,1,12.6,5,1,1.000,0,1,30,3,30,,10,5,21,0,26-343,15,1989-12-30,38:00,10,Hakeem Olajuwon
1,IND,.524,0,W (+14),HOU,28,,6,10,25.5,4,4,.600,1,6,31,5,31,.000,11,4,21,4,26-347,17,1990-01-03,38:00,13,Hakeem Olajuwon
1,PHI,.611,0,W (+5),HOU,29,,5,9,26.3,5,7,.778,0,7,32,1,32,,11,3,18,2,26-350,15,1990-01-06,38:00,12,Hakeem Olajuwon
1,SEA,.560,0,W (+7),HOU,38,,2,11,33.9,2,7,.909,0,10,33,0,33,,14,4,25,0,26-353,15,1990-01-09,41:00,11,Hakeem Olajuwon
1,SAC,.458,0,W (+3),HOU,27,@,4,7,21.8,4,4,.714,0,5,34,2,34,,11,5,24,2,26-355,18,1990-01-11,46:00,13,Hakeem Olajuwon
1,LAL,.471,0,L (-9),HOU,18,@,1,2,15.4,5,4,1.000,0,2,35,0,35,,8,5,17,1,26-356,11,1990-01-12,25:00,6,Hakeem Olajuwon
1,SEA,.500,0,L (-4),HOU,18,@,3,6,12.9,5,0,.333,0,2,36,5,36,,8,1,16,2,26-359,12,1990-01-15,40:00,11,Hakeem Olajuwon
