gs,opp_id,fg_pct,fg3,game_result,team_id,pts,game_location,tov,fta,game_score,pf,blk,ft_pct,fg3a,ft,ranker,ast,game_season,fg3_pct,fg,orb,fga,stl,age,trb,date_game,mp,drb,player_name
1,LAL,.385,0,L (-8),HOU,11,@,3,4,1.0,6,0,.250,0,1,1,0,1,,5,4,13,0,36-015,7,1999-02-05,34:00,3,Hakeem Olajuwon
1,GSW,.444,0,W (+2),HOU,12,@,1,6,9.2,4,2,.667,0,4,2,1,2,,4,1,9,1,36-016,6,1999-02-06,33:00,5,Hakeem Olajuwon
1,DEN,.600,0,W (+19),HOU,14,,4,2,13.2,1,3,1.000,0,2,3,2,3,,6,2,10,0,36-018,13,1999-02-08,28:00,11,Hakeem Olajuwon
1,SAC,.421,0,W (+10),HOU,19,,3,4,14.5,3,2,.750,0,3,4,3,4,,8,2,19,2,36-020,13,1999-02-10,35:00,11,Hakeem Olajuwon
1,DAL,.375,0,W (+10),HOU,8,@,2,4,3.8,4,3,.500,0,2,5,1,5,,3,0,8,0,36-021,6,1999-02-11,32:00,6,Hakeem Olajuwon
1,PHO,.636,0,W (+17),HOU,19,,4,7,17.4,0,1,.714,0,5,6,3,6,,7,5,11,0,36-026,11,1999-02-16,33:00,6,Hakeem Olajuwon
1,MIN,.417,0,L (-14),HOU,14,@,3,8,10.5,2,2,.500,0,4,7,4,7,,5,0,12,2,36-027,7,1999-02-17,32:00,7,Hakeem Olajuwon
1,NJN,.615,0,W (+1),HOU,21,@,6,6,17.6,1,1,.833,1,5,8,3,8,.000,8,5,13,0,36-028,15,1999-02-18,47:00,10,Hakeem Olajuwon
1,MIA,.545,0,L (-10),HOU,16,@,2,4,13.9,5,2,1.000,0,4,9,1,9,,6,3,11,0,36-030,13,1999-02-20,39:00,10,Hakeem Olajuwon
1,ORL,.692,0,L (-26),HOU,21,@,2,4,20.8,2,2,.750,0,3,10,1,10,,9,1,13,3,36-031,10,1999-02-21,36:00,9,Hakeem Olajuwon
1,SEA,.615,0,W (+12),HOU,19,,4,7,16.4,2,2,.429,0,3,11,1,11,,8,4,13,3,36-033,10,1999-02-23,43:00,6,Hakeem Olajuwon
1,ATL,.500,1,L (-6),HOU,16,,3,2,14.9,3,3,.500,1,1,12,2,12,1.000,7,3,14,1,36-035,16,1999-02-25,40:00,13,Hakeem Olajuwon
